video_id,title,publish_time,view_count,like_count,comment_count_x,avg_sentiment,pct_positive,pct_negative,comment_count_y
3b4lo3lV4bg,Gunna - wgft (feat. Burna Boy) [Official Video],2025-11-04T18:00:06Z,12118523,129278,4058,0.08581215954726697,0.23,0.09,100
8gy-Y9tWK6M,Gunna - just say dat [Official Video],2025-08-11T17:00:06Z,14483139,179407,8255,0.09376984521554833,0.24,0.04,100
QH5YH8LDlIc,Gunna - Won't Stop [Official Video],2025-07-01T17:00:07Z,9155028,151660,5787,0.057717631673881685,0.2,0.06,100
zenpoo--jCw,Gunna - GOT DAMN [Official Video],2024-12-31T20:00:18Z,20458336,183696,5904,0.09360917207792208,0.22,0.06,100
w7Wf0h1Q8a4,Gunna - HIM ALL ALONG [Official Video],2024-11-12T18:00:06Z,54577453,408893,11422,0.03909671491702742,0.18,0.11,100
ulGLk8TaXcI,Gunna - today i did good [Official Video],2024-08-13T16:59:54Z,8950196,93301,2635,0.1538014632936508,0.33,0.05,100
w_JtBYqMgk8,Gunna - one of wun [Official Video],2024-08-01T17:00:53Z,9086687,112793,3075,0.025760836038961035,0.19,0.12,100
oBrbejOHjLw,Gunna - back in the a [Official Video],2024-06-24T19:00:08Z,21748663,153493,3549,0.05436929134027348,0.19,0.09,100
bY1kLt4iz94,Gunna - whatsapp (wassam) [Official Video],2024-05-13T22:06:13Z,8382434,89468,3967,0.054059956709956704,0.17,0.07,100
Tqjw-H4QyG0,Gunna - Prada Dem (feat. Offset) [Official Video],2024-03-15T04:00:21Z,27686573,292734,8759,0.027705199129619298,0.16,0.12,100
nH3_n9w-V4Y,Gunna - Bittersweet [Official Video],2024-02-16T16:00:22Z,10446643,135344,5078,0.08920295401936026,0.23,0.06,99
